test_label,technology,data_channel_mode,dashboard_mode,scenario_clients,hz,run_id,metric,count,mean,median,std,min,max,p95,p99,iqr
visualization_http-post-long-polling,http-post,,long-polling,500,1,run2,server_processing_ms,284125,0.09256489221293444,0.0,2.811041922957204,0,199,0.0,1.0,0.0
visualization_http-post-long-polling,http-post,,long-polling,500,1,run3,server_processing_ms,144416,0.06463965211610902,0.0,1.0823246803156843,0,81,0.0,2.0,0.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,1,1,run1,server_processing_ms,187,0.0,0.0,0.0,0,0,0.0,0.0,0.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,1,1,run3,server_processing_ms,13,0.0,0.0,0.0,0,0,0.0,0.0,0.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,100,1,run1,server_processing_ms,28396,0.0004225947316523454,0.0,0.020553126812535027,0,1,0.0,0.0,0.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,100,1,run2,server_processing_ms,530,0.0,0.0,0.0,0,0,0.0,0.0,0.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,1,run1,server_processing_ms,15773,0.06447727128637545,0.0,0.7354742050600818,0,22,0.0,1.0,0.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,1,run2,server_processing_ms,14476,0.16033434650455927,0.0,2.306450577124051,0,51,0.0,1.0,0.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,1,run3,server_processing_ms,4258,0.10685767966181306,0.0,2.017213902289682,0,57,0.0,0.0,0.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,1,1,run1,server_processing_ms,283,0.0,0.0,0.0,0,0,0.0,0.0,0.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,1,1,run2,server_processing_ms,264,0.0,0.0,0.0,0,0,0.0,0.0,0.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,1,1,run3,server_processing_ms,78,0.0,0.0,0.0,0,0,0.0,0.0,0.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,100,1,run1,server_processing_ms,28322,0.000529623614151543,0.0,0.02300786395589538,0,1,0.0,0.0,0.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,100,1,run2,server_processing_ms,221,0.004524886877828055,0.0,0.06726727939963123,0,1,0.0,0.0,0.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,100,1,run3,server_processing_ms,2,0.0,0.0,0.0,0,0,0.0,0.0,0.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,500,1,run1,server_processing_ms,14658,0.14858780188293083,0.0,1.3742427257775294,0,16,0.0,9.0,0.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,500,1,run2,server_processing_ms,17910,0.03830262423227247,0.0,0.47775488398756544,0,15,0.0,0.0,0.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,500,1,run3,server_processing_ms,4230,0.005200945626477541,0.0,0.10860971320670025,0,4,0.0,0.0,0.0
