test_label,scenario_clients,hz,run_id,mean,median,p95,max,resource_metric
server_process_http-post-long-polling,1,1,run1,1.298370607028754,1.3,1.47,2.6,cpu_percent_process
server_process_http-post-long-polling,1,1,run2,1.2024880382775118,1.32,1.61,2.1,cpu_percent_process
server_process_http-post-long-polling,1,1,run3,1.2179748603351956,1.1,1.8975,7.22,cpu_percent_process
server_process_webrtc-reliable-ordered,1,1,run1,0.742012987012987,0.71,0.8629999999999995,3.24,cpu_percent_process
server_process_webrtc-reliable-ordered,1,1,run2,0.7031007751937985,0.79,1.03,1.47,cpu_percent_process
server_process_webrtc-reliable-ordered,1,1,run3,0.8629773462783172,0.87,1.0859999999999996,1.73,cpu_percent_process
server_process_webrtc-unreliable-unordered,1,1,run1,0.8494952681388013,0.84,1.05,3.03,cpu_percent_process
server_process_webrtc-unreliable-unordered,1,1,run2,0.8009120521172638,0.79,1.04,1.39,cpu_percent_process
server_process_webrtc-unreliable-unordered,1,1,run3,0.859563862928349,0.88,1.06,1.84,cpu_percent_process
server_process_websocket,1,1,run1,0.2113398692810457,0.16,0.8474999999999999,1.43,cpu_percent_process
server_process_websocket,1,1,run2,0.220828025477707,0.18,0.6319999999999891,1.22,cpu_percent_process
server_process_websocket,1,1,run3,0.1943401015228426,0.19,0.3039999999999986,1.27,cpu_percent_process
server_process_http-post-long-polling,100,1,run1,18.58947194719472,18.89,20.627,24.2,cpu_percent_process
server_process_http-post-long-polling,100,1,run2,39.69322147651007,40.06,43.643,46.05,cpu_percent_process
server_process_http-post-long-polling,100,1,run3,30.813288043478263,36.11,42.7085,49.15,cpu_percent_process
server_process_webrtc-reliable-ordered,100,1,run1,23.50655518394649,23.51,27.712,52.14,cpu_percent_process
server_process_webrtc-reliable-ordered,100,1,run2,12.268099808061422,19.76,22.93,39.41,cpu_percent_process
server_process_webrtc-reliable-ordered,100,1,run3,20.701856677524432,21.25,24.598,52.06,cpu_percent_process
server_process_webrtc-unreliable-unordered,100,1,run1,24.006291390728475,24.195,29.2115,64.14,cpu_percent_process
server_process_webrtc-unreliable-unordered,100,1,run2,20.97875,21.1,23.9925,25.98,cpu_percent_process
server_process_webrtc-unreliable-unordered,100,1,run3,20.57794871794872,20.705,25.139,58.65,cpu_percent_process
server_process_websocket,100,1,run1,9.921114864864863,9.864999999999998,10.7825,13.37,cpu_percent_process
server_process_websocket,100,1,run2,9.817658862876254,9.78,10.531999999999998,11.4,cpu_percent_process
server_process_websocket,100,1,run3,9.16844155844156,9.37,10.14,11.57,cpu_percent_process
server_process_http-post-long-polling,500,1,run1,25.15332326283988,23.98,48.975,63.01,cpu_percent_process
server_process_http-post-long-polling,500,1,run2,68.16056666666667,68.475,73.5005,88.76,cpu_percent_process
server_process_http-post-long-polling,500,1,run3,38.20501754385965,59.765,68.72049999999999,86.42,cpu_percent_process
server_process_webrtc-reliable-ordered,500,1,run1,43.46520270270271,42.795,58.13,183.1,cpu_percent_process
server_process_webrtc-reliable-ordered,500,1,run2,63.624523809523815,63.085,81.02199999999999,91.1,cpu_percent_process
server_process_webrtc-reliable-ordered,500,1,run3,52.610906432748536,57.225,72.82449999999999,163.99,cpu_percent_process
server_process_webrtc-unreliable-unordered,500,1,run1,43.8282119205298,42.115,56.839000000000006,169.02,cpu_percent_process
server_process_webrtc-unreliable-unordered,500,1,run2,60.171456953642384,61.63,74.49900000000001,177.2,cpu_percent_process
server_process_webrtc-unreliable-unordered,500,1,run3,59.56214743589744,60.115,75.5375,185.0,cpu_percent_process
server_process_websocket,500,1,run1_ws500_retry5,34.86376146788991,36.18,46.591,71.97,cpu_percent_process
server_process_websocket,500,1,run2,31.578918205804747,38.26,47.19199999999999,53.63,cpu_percent_process
server_process_websocket,500,1,run3,25.74363636363637,36.485,40.19549999999999,61.97,cpu_percent_process
server_process_http-post-long-polling,1,1,run1,14.318690095846645,15.0,15.12,15.12,ram_mb_process
server_process_http-post-long-polling,1,1,run2,14.6072009569378,15.0,15.62,15.62,ram_mb_process
server_process_http-post-long-polling,1,1,run3,14.315027932960891,14.5,15.41,15.41,ram_mb_process
server_process_webrtc-reliable-ordered,1,1,run1,15.90383116883117,16.439999999999998,17.12,17.25,ram_mb_process
server_process_webrtc-reliable-ordered,1,1,run2,16.047286821705427,16.75,16.75,16.75,ram_mb_process
server_process_webrtc-reliable-ordered,1,1,run3,15.745275080906149,16.38,16.88,16.88,ram_mb_process
server_process_webrtc-unreliable-unordered,1,1,run1,15.98410094637224,16.75,17.0,17.12,ram_mb_process
server_process_webrtc-unreliable-unordered,1,1,run2,15.783843648208473,16.25,16.88,16.88,ram_mb_process
server_process_webrtc-unreliable-unordered,1,1,run3,15.887414330218068,16.38,16.88,16.88,ram_mb_process
server_process_websocket,1,1,run1,15.0,15.0,15.0,15.0,ram_mb_process
server_process_websocket,1,1,run2,13.217261146496815,13.88,14.88,14.88,ram_mb_process
server_process_websocket,1,1,run3,13.308375634517766,14.185,14.62,14.62,ram_mb_process
server_process_http-post-long-polling,100,1,run1,20.7383498349835,20.41,28.29,28.29,ram_mb_process
server_process_http-post-long-polling,100,1,run2,20.68513422818792,20.4,27.73,27.73,ram_mb_process
server_process_http-post-long-polling,100,1,run3,21.48967391304348,21.51,27.83,27.83,ram_mb_process
server_process_webrtc-reliable-ordered,100,1,run1,69.39946488294314,71.25,78.88,78.88,ram_mb_process
server_process_webrtc-reliable-ordered,100,1,run2,72.35420345489443,73.62,75.75,75.75,ram_mb_process
server_process_webrtc-reliable-ordered,100,1,run3,70.13781758957656,69.88,78.5,78.5,ram_mb_process
server_process_webrtc-unreliable-unordered,100,1,run1,69.14754966887418,71.25,76.38,76.38,ram_mb_process
server_process_webrtc-unreliable-unordered,100,1,run2,69.9645945945946,69.12,79.12,79.25,ram_mb_process
server_process_webrtc-unreliable-unordered,100,1,run3,69.58823717948718,68.62,78.12,78.12,ram_mb_process
server_process_websocket,100,1,run1,23.238277027027028,24.14,28.49,28.49,ram_mb_process
server_process_websocket,100,1,run2,23.26043478260869,23.65,28.46,28.46,ram_mb_process
server_process_websocket,100,1,run3,23.306688311688312,23.28,28.43,28.43,ram_mb_process
server_process_http-post-long-polling,500,1,run1,55.2258912386707,57.59,91.49,91.49,ram_mb_process
server_process_http-post-long-polling,500,1,run2,52.2639,50.83,89.23,89.23,ram_mb_process
server_process_http-post-long-polling,500,1,run3,69.12019298245613,88.1,88.1,88.1,ram_mb_process
server_process_webrtc-reliable-ordered,500,1,run1,290.7213851351351,306.44,316.3325,338.8,ram_mb_process
server_process_webrtc-reliable-ordered,500,1,run2,291.4368707482993,289.49,334.84,335.59,ram_mb_process
server_process_webrtc-reliable-ordered,500,1,run3,287.43125730994154,292.62,332.62,332.62,ram_mb_process
server_process_webrtc-unreliable-unordered,500,1,run1,288.2594370860927,286.12,327.64,327.64,ram_mb_process
server_process_webrtc-unreliable-unordered,500,1,run2,289.40562913907286,284.75,333.04,333.04,ram_mb_process
server_process_webrtc-unreliable-unordered,500,1,run3,288.1017628205128,287.62,318.62,318.62,ram_mb_process
server_process_websocket,500,1,run1_ws500_retry5,66.91189602446482,71.02,110.36,110.36,ram_mb_process
server_process_websocket,500,1,run2,73.74606860158312,80.0,92.64,92.64,ram_mb_process
server_process_websocket,500,1,run3,75.44329545454546,91.3,91.3,91.3,ram_mb_process
