test_label,technology,data_channel_mode,dashboard_mode,scenario_clients,hz,run_id,metric,count,mean,median,std,min,max,p95,p99,iqr
ingestion_http-post-long-polling,http-post,,long-polling,1,1,run3,jitter_ms,284,0.3908450704225352,0.0,0.5030514560474344,0,2,1.0,1.0,1.0
ingestion_http-post-long-polling,http-post,,long-polling,100,1,run1,jitter_ms,26813,0.3028381755118786,0.0,0.643393132011828,0,36,1.0,2.0,1.0
ingestion_http-post-long-polling,http-post,,long-polling,100,1,run2,jitter_ms,19501,0.32716270960463567,0.0,0.49035319101080954,0,6,1.0,1.0,1.0
ingestion_http-post-long-polling,http-post,,long-polling,100,1,run3,jitter_ms,19918,0.32628777989758007,0.0,0.4983507326684687,0,8,1.0,1.0,1.0
ingestion_http-post-long-polling,http-post,,long-polling,500,1,run1,jitter_ms,142000,0.7256267605633803,0.0,2.6227633302798448,0,193,1.0,10.0,1.0
ingestion_http-post-long-polling,http-post,,long-polling,500,1,run2,jitter_ms,139773,0.3509476079071065,0.0,0.629138941010136,0,33,1.0,2.0,1.0
ingestion_http-post-long-polling,http-post,,long-polling,500,1,run3,jitter_ms,89115,0.4400381529484374,0.0,0.5887029616324447,0,16,1.0,2.0,1.0
ingestion_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,1,1,run1,jitter_ms,187,0.5347593582887701,0.0,1.3922289396054284,0,12,1.0,10.0,1.0
ingestion_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,1,1,run2,jitter_ms,284,0.43661971830985913,0.0,0.5508078068018306,0,2,1.0,2.0,1.0
ingestion_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,1,1,run3,jitter_ms,256,0.3203125,0.0,0.48399633364354333,0,2,1.0,1.0,1.0
ingestion_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,100,1,run1,jitter_ms,28395,0.48159887304102833,0.0,0.8268648927494645,0,14,1.0,2.0,1.0
ingestion_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,100,1,run2,jitter_ms,28398,0.4697161771955772,0.0,0.5143110207370941,0,6,1.0,1.0,1.0
ingestion_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,100,1,run3,jitter_ms,16748,0.41664676379269167,0.0,0.5202439636434498,0,8,1.0,1.0,1.0
ingestion_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,1,run1,jitter_ms,141736,1.3671403172094598,1.0,5.110204082458224,0,108,4.0,17.0,1.0
ingestion_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,1,run2,jitter_ms,68481,2.179538850192024,1.0,5.877703158492049,0,84,6.0,35.0,2.0
ingestion_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,1,run3,jitter_ms,108229,3.406961165676482,1.0,8.944507643316777,0,121,13.0,50.0,3.0
ingestion_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,1,1,run1,jitter_ms,284,0.49295774647887325,0.0,0.5078393067292198,0,2,1.0,1.0,1.0
ingestion_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,1,1,run2,jitter_ms,263,0.17110266159695817,0.0,0.3773166620574441,0,1,1.0,1.0,0.0
ingestion_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,1,1,run3,jitter_ms,282,0.4397163120567376,0.0,0.504341215432076,0,2,1.0,1.0,1.0
ingestion_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,100,1,run1,jitter_ms,28398,0.4704908796394112,0.0,0.7072629254833093,0,40,1.0,1.0,1.0
ingestion_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,100,1,run2,jitter_ms,18379,0.3620980466837151,0.0,0.49423917657214983,0,6,1.0,1.0,1.0
ingestion_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,100,1,run3,jitter_ms,9913,0.615857964289317,1.0,0.5061353924730957,0,5,1.0,1.0,1.0
ingestion_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,500,1,run1,jitter_ms,137984,3.3317920918367347,1.0,11.663500148163946,0,132,10.0,71.0,2.0
ingestion_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,500,1,run2,jitter_ms,95381,2.294440192491167,1.0,7.540347153991318,0,92,5.0,46.0,1.0
ingestion_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,500,1,run3,jitter_ms,88324,2.599304832208686,1.0,7.361503111360187,0,95,8.0,50.0,2.0
ingestion_websocket,websocket,,websocket,1,1,run1,jitter_ms,283,0.5371024734982333,0.0,1.5069112931723332,0,13,1.0,8.0,1.0
ingestion_websocket,websocket,,websocket,1,1,run2,jitter_ms,280,0.275,0.0,0.44731376653839633,0,1,1.0,1.0,1.0
ingestion_websocket,websocket,,websocket,1,1,run3,jitter_ms,283,0.47703180212014135,0.0,0.5073946339762331,0,2,1.0,1.0,1.0
ingestion_websocket,websocket,,websocket,100,1,run1,jitter_ms,18238,0.37509595350367364,0.0,0.7384566549113327,0,30,1.0,1.0,1.0
ingestion_websocket,websocket,,websocket,100,1,run2,jitter_ms,28399,0.27025599492939895,0.0,0.4636511249004065,0,5,1.0,1.0,1.0
ingestion_websocket,websocket,,websocket,100,1,run3,jitter_ms,28027,0.32943233310736075,0.0,0.4766491751607188,0,3,1.0,1.0,1.0
ingestion_websocket,websocket,,websocket,500,1,run1_ws500_retry5,jitter_ms,141997,0.4839327591427988,0.0,2.0399586406933574,0,205,1.0,2.0,1.0
ingestion_websocket,websocket,,websocket,500,1,run2,jitter_ms,100499,0.3350779609747361,0.0,0.5307444601927275,0,19,1.0,2.0,1.0
ingestion_websocket,websocket,,websocket,500,1,run3,jitter_ms,101610,0.3427320145654955,0.0,0.5312370209420069,0,14,1.0,2.0,1.0
