test_label,technology,data_channel_mode,scenario_clients,hz,run_id,metric,count,mean,median,std,min,max,p95,p99,iqr
load_http-post-long-polling,http-post,,1,1,run1,sent_messages_per_second,284,1.0,1.0,0.0,1,1,1.0,1.0,0.0
load_http-post-long-polling,http-post,,1,1,run2,sent_messages_per_second,284,1.0,1.0,0.0,1,1,1.0,1.0,0.0
load_http-post-long-polling,http-post,,1,1,run3,sent_messages_per_second,284,1.0,1.0,0.0,1,1,1.0,1.0,0.0
load_http-post-long-polling,http-post,,100,1,run1,sent_messages_per_second,284,100.0,100.0,0.0,100,100,100.0,100.0,0.0
load_http-post-long-polling,http-post,,100,1,run2,sent_messages_per_second,284,100.0,100.0,0.0,100,100,100.0,100.0,0.0
load_http-post-long-polling,http-post,,100,1,run3,sent_messages_per_second,285,100.0,100.0,0.0,100,100,100.0,100.0,0.0
load_http-post-long-polling,http-post,,500,1,run1,sent_messages_per_second,284,500.0,500.0,4.705458825256444,463,537,503.0,512.3600000000001,2.0
load_http-post-long-polling,http-post,,500,1,run2,sent_messages_per_second,285,500.0,500.0,0.5438516782058541,497,503,501.0,501.0,0.0
load_http-post-long-polling,http-post,,500,1,run3,sent_messages_per_second,284,500.0,500.0,2.893882911226182,466,533,501.0,502.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,1,1,run1,sent_messages_per_second,284,1.0,1.0,0.0,1,1,1.0,1.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,1,1,run2,sent_messages_per_second,285,1.0,1.0,0.0,1,1,1.0,1.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,1,1,run3,sent_messages_per_second,285,1.0,1.0,0.0,1,1,1.0,1.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,100,1,run1,sent_messages_per_second,283,100.0,100.0,0.7341710238075198,99,101,101.0,101.0,2.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,100,1,run2,sent_messages_per_second,284,100.0,100.0,0.0,100,100,100.0,100.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,100,1,run3,sent_messages_per_second,284,100.0,100.0,0.6457252749753951,99,101,101.0,101.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,500,1,run1,sent_messages_per_second,284,500.0,500.0,0.18797789509922808,498,502,500.0,500.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,500,1,run2,sent_messages_per_second,284,500.0,500.0,0.0,500,500,500.0,500.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,500,1,run3,sent_messages_per_second,283,500.0,500.0,0.0,500,500,500.0,500.0,0.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,1,1,run1,sent_messages_per_second,284,1.0,1.0,0.0,1,1,1.0,1.0,0.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,1,1,run2,sent_messages_per_second,283,1.0,1.0,0.0,1,1,1.0,1.0,0.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,1,1,run3,sent_messages_per_second,284,1.0,1.0,0.0,1,1,1.0,1.0,0.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,100,1,run1,sent_messages_per_second,284,100.0,100.0,0.0,100,100,100.0,100.0,0.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,100,1,run2,sent_messages_per_second,284,100.0,100.0,0.6062104965090416,99,101,101.0,101.0,0.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,100,1,run3,sent_messages_per_second,284,100.0,100.0,0.0,100,100,100.0,100.0,0.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,500,1,run1,sent_messages_per_second,283,500.0,500.0,0.0,500,500,500.0,500.0,0.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,500,1,run2,sent_messages_per_second,285,500.0,500.0,0.5104540922371866,499,501,501.0,501.0,0.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,500,1,run3,sent_messages_per_second,283,500.0,500.0,0.0,500,500,500.0,500.0,0.0
load_websocket,websocket,,1,1,run1,sent_messages_per_second,283,1.0,1.0,0.0,1,1,1.0,1.0,0.0
load_websocket,websocket,,1,1,run2,sent_messages_per_second,284,1.0,1.0,0.1188876596555528,0,2,1.0,1.0,0.0
load_websocket,websocket,,1,1,run3,sent_messages_per_second,284,1.0,1.0,0.3466141121711344,0,2,2.0,2.0,0.0
load_websocket,websocket,,100,1,run1,sent_messages_per_second,284,97.92957746478874,98.0,0.6418600105396481,97,100,99.0,99.0,0.0
load_websocket,websocket,,100,1,run2,sent_messages_per_second,284,100.0,100.0,0.0,100,100,100.0,100.0,0.0
load_websocket,websocket,,100,1,run3,sent_messages_per_second,282,100.0,100.0,0.0,100,100,100.0,100.0,0.0
load_websocket,websocket,,500,1,run1_ws500_retry5,sent_messages_per_second,284,500.0,500.0,0.5043976220510384,499,501,501.0,501.0,0.0
load_websocket,websocket,,500,1,run2,sent_messages_per_second,284,499.98943661971833,500.0,1.34895367102412,497,503,502.0,503.0,2.0
load_websocket,websocket,,500,1,run3,sent_messages_per_second,284,500.0,500.0,0.6983068872880477,498,502,501.0,502.0,0.0
load_http-post-long-polling,http-post,,1,1,run1,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_http-post-long-polling,http-post,,1,1,run2,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_http-post-long-polling,http-post,,1,1,run3,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_http-post-long-polling,http-post,,100,1,run1,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_http-post-long-polling,http-post,,100,1,run2,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_http-post-long-polling,http-post,,100,1,run3,errors_per_second,285,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_http-post-long-polling,http-post,,500,1,run1,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_http-post-long-polling,http-post,,500,1,run2,errors_per_second,285,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_http-post-long-polling,http-post,,500,1,run3,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,1,1,run1,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,1,1,run2,errors_per_second,285,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,1,1,run3,errors_per_second,285,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,100,1,run1,errors_per_second,283,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,100,1,run2,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,100,1,run3,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,500,1,run1,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,500,1,run2,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_webrtc-reliable-ordered,webrtc,reliable-ordered,500,1,run3,errors_per_second,283,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,1,1,run1,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,1,1,run2,errors_per_second,283,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,1,1,run3,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
load_webrtc-unreliable-unordered,webrtc,unreliable-unordered,100,1,run1,errors_per_second,284,0.0,0.0,0.0,0,0,0.0,0.0,0.0
