test_label,scenario_clients,hz,run_id,count,mean,median,std,iqr,p95,p99,min,max
visualization_http-post-long-polling,500,10,run1,103767,304.1706804668151,293.0,47.12126284065369,46.0,389.0,483.0,184,690
visualization_webrtc-reliable-ordered,500,10,run1,14130,19377.434253361644,19823.5,7759.596674315701,13052.5,31128.0,32123.71,4714,32310
visualization_webrtc-unreliable-unordered,500,10,run1,11935,14307.236447423544,14247.0,5209.119748956626,9102.0,22455.0,23137.66,5280,23325
visualization_websocket,500,10,run1,296601,168232.51840014025,173812.0,90216.907816054,155139.0,301571.0,320073.0,1497,342411
