test_label,technology,data_channel_mode,dashboard_mode,scenario_clients,hz,run_id,metric,count,mean,median,std,min,max,p95,p99,iqr
visualization_http-post-long-polling,http-post,,long-polling,500,10,run1,network_ingestion_ms,103767,1.8841346478167433,1.0,3.3982294234005637,0,61,7.0,16.0,2.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,10,run1,network_ingestion_ms,14130,17.463269639065818,5.0,29.92983447405485,0,187,93.0,131.0,13.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,500,10,run1,network_ingestion_ms,11935,12.375953079178885,4.0,25.02942477939663,0,244,71.0,124.65999999999985,8.0
visualization_websocket,websocket,,websocket,500,10,run1,network_ingestion_ms,296601,165274.57722664456,171787.0,90657.61553405042,0,338830,298259.0,317101.0,156334.0
visualization_http-post-long-polling,http-post,,long-polling,500,10,run1,server_processing_ms,103767,0.5357001744292501,0.0,8.361763112280286,0,192,0.0,0.0,0.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,10,run1,server_processing_ms,14130,0.061854210898796884,0.0,0.8126128756853797,0,14,0.0,0.0,0.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,500,10,run1,server_processing_ms,11935,0.059907834101382486,0.0,0.7651144964061383,0,16,0.0,0.0,0.0
visualization_websocket,websocket,,websocket,500,10,run1,server_processing_ms,296601,0.41420966213869814,0.0,7.1469182094080805,0,245,0.0,0.0,0.0
visualization_http-post-long-polling,http-post,,long-polling,500,10,run1,dashboard_delivery_ms,103767,168.52230477897598,172.0,50.06264103446827,29,348,241.0,260.0,76.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,10,run1,dashboard_delivery_ms,14130,19035.433828733192,19128.0,7835.408398893613,3404,32049,30909.0,31897.0,13203.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,500,10,run1,dashboard_delivery_ms,11935,13868.52987012987,13896.0,5326.409282786533,4576,23034,22167.0,22936.32,9256.0
visualization_websocket,websocket,,websocket,500,10,run1,dashboard_delivery_ms,296601,2736.321475652476,2458.0,1347.583481705765,782,11648,5485.0,7350.0,1354.0
visualization_http-post-long-polling,http-post,,long-polling,500,10,run1,dom_update_ms,103767,0.0020430387310031127,0.0,0.05652727248537543,0,2,0.0,0.0,0.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,10,run1,dom_update_ms,14130,0.0065817409766454355,0.0,0.10916909884693293,0,3,0.0,0.0,0.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,500,10,run1,dom_update_ms,11935,0.0056975282781734395,0.0,0.10893260327406751,0,3,0.0,0.0,0.0
visualization_websocket,websocket,,websocket,500,10,run1,dom_update_ms,296601,0.004956153215936562,0.0,0.3286536136377584,0,174,0.0,0.0,0.0
visualization_http-post-long-polling,http-post,,long-polling,500,10,run1,paint_delay_ms,103767,133.2264978268621,121.0,82.87898629419513,9,619,280.0,380.0,115.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,10,run1,paint_delay_ms,14130,324.46871903750883,269.0,169.62883310380343,101,2325,663.0,863.2599999999948,127.0
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,500,10,run1,paint_delay_ms,11935,426.26501885211565,373.0,188.00784367459696,148,1203,788.0,1052.6599999999999,216.0
visualization_websocket,websocket,,websocket,500,10,run1,paint_delay_ms,296601,221.20053202787582,198.0,114.54403922054523,45,840,473.0,684.0,96.0
visualization_http-post-long-polling,http-post,,long-polling,500,10,run1,end_to_end_visualization_ms,103767,304.1706804668151,293.0,47.12126284065369,184,690,389.0,483.0,46.0
visualization_webrtc-reliable-ordered,webrtc,reliable-ordered,webrtc,500,10,run1,end_to_end_visualization_ms,14130,19377.434253361644,19823.5,7759.596674315701,4714,32310,31128.0,32123.71,13052.5
visualization_webrtc-unreliable-unordered,webrtc,unreliable-unordered,webrtc,500,10,run1,end_to_end_visualization_ms,11935,14307.236447423544,14247.0,5209.119748956626,5280,23325,22455.0,23137.66,9102.0
visualization_websocket,websocket,,websocket,500,10,run1,end_to_end_visualization_ms,296601,168232.51840014025,173812.0,90216.907816054,1497,342411,301571.0,320073.0,155139.0
